timestamp,image,aec_level,agc_gain,amb,r,g,b,temp,pressure,humidity,gas,co2,accel,gyro,quat,AeLocked,SensorTemperature,SensorBlackLevels,AnalogueGain,ColourCorrectionMatrix,FocusFoM,ColourTemperature,ColourGains,AfPauseState,SensorTimestamp,Lux,ScalerCrop,LensPosition,FrameDuration,ExposureTime,AfState,DigitalGain,captureTimestamp,image_format,ev
20250116063302,00_20250116063309.jpg,,,0,0,0,0,34.79999923706055,1006.36376953125,59,31801,713,"(-247.0, -764.0, 3982.0)","(1.0, 4.0, -3.0)","(-0.07354717701673508, 0.06286604702472687, -0.3935536742210388, 0.9141212105751038)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5396605730056763, -0.3520984947681427, -0.18755553662776947, -0.3393247723579407, 1.6772476434707642, -0.3379128575325012, 0.0017526315059512854, -0.5572509765625, 1.5555083751678467)",1118,3968,"(1.8028596639633179, 2.0456645488739014)",0,188245833334000,1.3059890270233154,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116063309,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-1
20250116063302,00_20250116063311.jpg,,,0,0,0,0,34.79999923706055,1006.36376953125,59,31801,713,"(-247.0, -764.0, 3982.0)","(1.0, 4.0, -3.0)","(-0.07354717701673508, 0.06286604702472687, -0.3935536742210388, 0.9141212105751038)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5396506786346436, -0.35209906101226807, -0.18754509091377258, -0.33926770091056824, 1.6772421598434448, -0.3379644751548767, 0.0017672603717073798, -0.5572642087936401, 1.555506944656372)",1123,3969,"(1.8030604124069214, 2.0454208850860596)",0,188247313893000,1.3096528053283691,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116063311,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",0
20250116063302,00_20250116063312.jpg,,,0,0,0,0,34.79999923706055,1006.36376953125,59,31801,713,"(-247.0, -764.0, 3982.0)","(1.0, 4.0, -3.0)","(-0.07354717701673508, 0.06286604702472687, -0.3935536742210388, 0.9141212105751038)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.539644718170166, -0.3520994186401367, -0.18753880262374878, -0.3392333686351776, 1.677238941192627, -0.3379955589771271, 0.0017760611372068524, -0.55727219581604, 1.5555061101913452)",1116,3969,"(1.8031811714172363, 2.045274257659912)",0,188248793662000,1.3033517599105835,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116063312,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",1
20250116063302,00_20250116063314.jpg,,,0,0,0,0,34.79999923706055,1006.36376953125,59,31801,713,"(-247.0, -764.0, 3982.0)","(1.0, 4.0, -3.0)","(-0.07354717701673508, 0.06286604702472687, -0.3935536742210388, 0.9141212105751038)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5396716594696045, -0.35209786891937256, -0.18756726384162903, -0.33938878774642944, 1.6772537231445312, -0.33785495162010193, 0.0017362242797389627, -0.5572361946105957, 1.5555099248886108)",1115,3967,"(1.80263352394104, 2.045936346054077)",0,188250277057000,1.3027513027191162,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116063314,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",2
20250116064305,00_20250116064315.jpg,,,0,0,0,0,34.849998474121094,1006.36376953125,59,31562,753,"(-231.0, -767.0, 3972.0)","(2.0, 3.0, 0.0)","(-0.07354717701673508, 0.06268294155597687, -0.3925771117210388, 0.9145484566688538)",True,43.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5368754863739014, -0.3522586226463318, -0.1846122145652771, -0.3232581317424774, 1.6757171154022217, -0.352448970079422, 0.005871040280908346, -0.5609740018844604, 1.5551129579544067)",1290,4159,"(1.861379623413086, 1.9795210361480713)",0,188851790622000,2.0867395401000977,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116064315,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-2
20250116064305,00_20250116064317.jpg,,,0,0,0,0,34.849998474121094,1006.36376953125,59,31562,753,"(-231.0, -767.0, 3972.0)","(2.0, 3.0, 0.0)","(-0.07354717701673508, 0.06268294155597687, -0.3925771117210388, 0.9145484566688538)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.536943793296814, -0.3522546887397766, -0.1846844106912613, -0.3236522376537323, 1.6757546663284302, -0.3520924150943756, 0.005770016461610794, -0.5608826875686646, 1.5551226139068604)",1288,4154,"(1.8598960638046265, 1.9810895919799805)",0,188853269539000,2.092540740966797,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116064317,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-1
20250116064305,00_20250116064318.jpg,,,0,0,0,0,34.849998474121094,1006.36376953125,59,31562,753,"(-231.0, -767.0, 3972.0)","(2.0, 3.0, 0.0)","(-0.07354717701673508, 0.06268294155597687, -0.3925771117210388, 0.9145484566688538)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5369489192962646, -0.35225439071655273, -0.18468980491161346, -0.32368168234825134, 1.6757574081420898, -0.352065771818161, 0.005762470420449972, -0.5608758926391602, 1.5551234483718872)",1293,4154,"(1.8597804307937622, 1.9812016487121582)",0,188854752146000,2.098917245864868,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116064318,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",0
20250116064305,00_20250116064319.jpg,,,0,0,0,0,34.849998474121094,1006.36376953125,59,31562,753,"(-231.0, -767.0, 3972.0)","(2.0, 3.0, 0.0)","(-0.07354717701673508, 0.06268294155597687, -0.3925771117210388, 0.9145484566688538)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5369248390197754, -0.35225579142570496, -0.18466439843177795, -0.323542982339859, 1.6757441759109497, -0.3521912693977356, 0.005798024591058493, -0.5609080195426941, 1.5551199913024902)",1286,4155,"(1.8602961301803589, 1.9806427955627441)",0,188856226652000,2.111201286315918,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116064319,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",1
20250116064305,00_20250116064321.jpg,,,0,0,0,0,34.849998474121094,1006.36376953125,59,31562,753,"(-231.0, -767.0, 3972.0)","(2.0, 3.0, 0.0)","(-0.07354717701673508, 0.06268294155597687, -0.3925771117210388, 0.9145484566688538)",True,42.0,"(4096, 4096, 4096, 4096)",5.88505744934082,"(1.5369240045547485, -0.35225582122802734, -0.18466350436210632, -0.32353806495666504, 1.6757436990737915, -0.35219570994377136, 0.005799284670501947, -0.5609091520309448, 1.5551198720932007)",1292,4155,"(1.860310435295105, 1.9806188344955444)",0,188857703187000,2.111760377883911,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.006328821182251,20250116064321,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",2
20250116065320,00_20250116065322.jpg,,,1,0,0,1,34.849998474121094,1006.4105834960938,59,31634,700,"(-233.0, -736.0, 4032.0)","(3.0, 4.0, 0.0)","(-0.07360821217298508, 0.06280501186847687, -0.3932484984397888, 0.9143043160438538)",False,42.0,"(4096, 4096, 4096, 4096)",4.357446670532227,"(1.4143229722976685, -0.21194861829280853, -0.20237435400485992, -0.17610099911689758, 1.7183159589767456, -0.5422049760818481, 0.012399666011333466, -0.629359245300293, 1.616959571838379)",2579,7914,"(2.7683584690093994, 1.4463750123977661)",0,189459225012000,13.727602005004883,"(684, 0, 3240, 2592)",1.0,120285,119631,0,1.0064456462860107,20250116065322,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-2
